source,target,similarity
13250,22717,0.626
13250,18475,0.6177
13282,35451,0.6094
13293,22543,0.6353
13293,27511,0.616
13293,27677,0.609
13293,11470,0.608
13296,25049,0.618
13307,18661,0.611
13309,25512,0.751
13313,32575,0.741
13316,32102,0.7866
13319,16932,0.6377
13320,3135,0.651
13322,22115,0.782
13322,32699,0.7783
13322,36020,0.7505
13326,2283,0.682
13371,8013,0.693
13399,25145,0.6543
13411,15630,0.6333
13426,5715,0.601
13514,15617,0.8594
13514,28020,0.721
13541,7800,0.7134
13560,20094,0.7275
13560,26939,0.713
13560,28437,0.644
13560,26553,0.6177
13619,4367,0.61
13634,7862,0.6084
13667,5665,0.608
13747,15599,0.602
13748,11680,0.9443
13748,30002,0.6553
13761,19405,0.704
13773,22199,0.659
13780,20502,0.7036
13790,13791,0.624
13791,13790,0.624
13855,13856,0.703
13855,17425,0.6
13856,13855,0.703
13861,34296,0.604
13886,35437,0.7935
13910,36709,0.7153
13919,6069,0.603
13944,14265,0.7183
13973,27409,0.685
14003,10529,0.61
14005,5826,0.753
14028,16135,0.603
14040,11649,0.933
14040,14941,0.669
14059,17576,0.652
14059,15948,0.645
14059,22501,0.6377
14059,16455,0.637
14060,22497,0.664
14060,17566,0.6123
14113,11823,0.8
14119,25072,0.6826
14119,32862,0.666
14119,27820,0.6113
14119,32863,0.609
14119,17574,0.608
14119,15449,0.603
14120,3803,0.882
14157,32453,0.607
14178,19431,0.6587
14179,19433,0.6396
14179,15629,0.621
14206,21383,0.602
14224,225,0.74
14265,13944,0.7183
14292,14293,0.605
14293,11098,0.6133
14293,14292,0.605
14295,30002,0.646
14306,18650,0.6797
14306,35626,0.649
14306,13072,0.647
14306,15971,0.6025
14333,31577,0.644
14337,9433,0.6167
14358,9064,0.6133
14373,21746,0.6875
14379,26260,0.6733
14390,15722,0.668
14390,19723,0.6616
14390,19716,0.6523
14390,19724,0.642
14390,28663,0.6377
14390,19823,0.6055
14390,33197,0.6045
14397,16610,0.708
14430,14431,0.6084
14430,20667,0.604
14431,34354,0.6763
14431,29779,0.675
14431,11370,0.639
14431,28161,0.615
14516,18422,0.682
14516,32901,0.6304
14516,24830,0.6006
14546,14549,0.667
14548,783,0.7065
14549,14546,0.667
14558,3442,0.616
14582,7492,0.6016
14586,26680,0.888
14609,7774,0.665
14632,34757,0.6143
14639,23629,0.802
14639,25022,0.7036
14639,11380,0.6846
14639,14640,0.6797
14639,23630,0.678
14639,35208,0.6675
14639,24534,0.639
14639,17699,0.6245
14639,29940,0.6094
14640,23630,0.7295
14640,14639,0.6797
14640,11380,0.6206
14640,14641,0.6133
14640,22518,0.6
14641,14640,0.6133
14664,37031,0.606
14680,14681,0.7427
14680,23229,0.639
14680,19955,0.6104
14681,14680,0.7427
14681,36092,0.6143
14681,23229,0.611
14689,17955,0.769
14689,12475,0.717
14689,35573,0.694
14689,17447,0.6895
14689,28161,0.6157
14689,37846,0.6025
14689,29784,0.6006
14694,28224,0.6514
14694,30153,0.636
14694,13250,0.6343
14694,11978,0.6333
14694,20064,0.6177
14694,33731,0.6113
14694,18476,0.608
14694,29779,0.6045
14715,33170,0.8345
14792,35189,0.6084
14808,14907,0.61
14831,32687,0.611
14907,37352,0.6416
14907,14808,0.61
14907,15836,0.601
14940,36892,0.6226
14941,14040,0.669
14941,11649,0.636
14968,14986,0.6333
14977,14980,0.669
14977,20065,0.668
14977,30997,0.6523
14977,19849,0.6514
14977,11235,0.631
14977,20064,0.6294
14977,25676,0.613
14977,14979,0.6123
14979,14980,0.641
14979,9026,0.62
14979,14977,0.6123
14980,9026,0.691
14980,14977,0.669
14980,14979,0.641
14986,14968,0.6333
14992,28114,0.778
15027,32857,0.705
15039,25409,0.6294
15064,24679,0.6104
15070,24805,0.663
15082,6622,0.61
15092,15630,0.774
15092,32862,0.703
15092,32863,0.6777
15092,22871,0.656
15092,25072,0.613
15092,31700,0.6113
15092,32855,0.607
15092,34188,0.6025
15105,15107,0.673
15107,15105,0.673
15142,3640,0.617
15173,30061,0.6216
15173,33635,0.602
15227,37329,0.61
15260,16930,0.6133
15264,27587,0.602
15264,16930,0.601
15273,36719,0.603
15288,12899,0.618
15310,12172,0.6294
15324,22396,0.6104
15324,22395,0.605
15342,15355,0.6265
15342,25677,0.623
15342,15349,0.6147
15342,24579,0.6123
15342,35216,0.6104
15349,12262,0.6216
15349,15342,0.6147
15355,15342,0.6265
15406,10392,0.6226
15412,22518,0.6167
15420,15421,0.699
15420,37748,0.6987
15421,37748,0.764
15421,15420,0.699
15421,26064,0.6904
15421,36092,0.681
15421,11192,0.646
15421,26959,0.6133
15425,15426,0.6646
15426,15425,0.6646
15426,31635,0.6333
15426,17574,0.6035
15426,23218,0.6
15449,27820,0.7065
15449,22743,0.6216
15449,14119,0.603
15450,5725,0.641
15455,15463,0.6406
15455,34708,0.625
15463,28657,0.7
15463,15468,0.695
15463,33057,0.685
15463,31770,0.683
15463,11235,0.6665
15463,16115,0.661
15463,33138,0.6523
15463,33059,0.6514
15464,19509,0.662
15464,11982,0.627
15464,19507,0.612
15465,19507,0.6475
15465,15468,0.626
15465,27444,0.619
15468,19716,0.727
15468,15463,0.695
15468,31770,0.6797
15468,19512,0.673
15468,19723,0.6675
15468,33058,0.641
15468,17293,0.6265
15468,15465,0.626
15468,33057,0.621
15468,20217,0.62
15478,36704,0.699
15514,35898,0.6426
15534,15619,0.732
15534,15621,0.689
15534,28657,0.6426
15534,24297,0.634
15534,35415,0.632
15534,16329,0.6196
15534,18650,0.6157
